ZIPCode,Date,Densite
49155,2013,54.42
49155,2018,53.27
49160,1968,171.1
49160,1975,179.37
49160,1982,173.42
49160,1990,165.69
49160,1999,163.68
49160,2008,198.07
49160,2013,203.86
49160,2018,204.33
49161,1968,24.38
49161,1975,21.27
49161,1982,19.84
49161,1990,19.04
49161,1999,19.76
49161,2008,23.11
49161,2013,24.7
49161,2018,25.98
49163,1968,32.69
49163,1975,32.83
49163,1982,33.79
49163,1990,36.07
49163,1999,35.49
49163,2008,41.52
49163,2013,44.99
49163,2018,45.39
49167,1968,70.61
49167,1975,93.94
49167,1982,116.16
49167,1990,131.25
49167,1999,147.45
49167,2008,166.81
49167,2013,173.15
49167,2018,179.05
49170,1968,28.44
49170,1975,31.93
49170,1982,34.51
49170,1990,41.11
49170,1999,40.42
49170,2008,43.69
49170,2013,41.58
49170,2018,42.85
49171,1968,29.01
49171,1975,22.24
49171,1982,18.76
49171,1990,20.12
49171,1999,16.63
49171,2008,19.34
49171,2013,21.47
49171,2018,23.79
49174,1968,47.14
49174,1975,43.56
49174,1982,45.85
49174,1990,43.79
49174,1999,47.64
49174,2008,55.93
49174,2013,60.15
49174,2018,60.38
49176,1968,51.91
49176,1975,53.81
49176,1982,62.48
49176,1990,70.42
49176,1999,75.6
49176,2008,83.6
49176,2013,93.53
49176,2018,104.19
49178,1968,28.76
49178,1975,26.18
49178,1982,25.26
49178,1990,22.15
49178,1999,22.35
49178,2008,24.19
49178,2013,26.56
49178,2018,25.79
49180,1968,61.7
49180,1975,65.67
49180,1982,70.41
49180,1990,70.49
49180,1999,72.02
49180,2008,70.97
49180,2013,71.47
49180,2018,70.78
49182,1968,23.32
49182,1975,22.58
49182,1982,22.97
49182,1990,22.42
49182,1999,23.74
49182,2008,32.22
49182,2013,30.95
49182,2018,33.77
49183,1968,24.95
49183,1975,23.54
49183,1982,24.3
49183,1990,24.62
49183,1999,25.73
49183,2008,32.75
49183,2013,36.03
49183,2018,37.6
49188,1968,25.94
49188,1975,24.94
49188,1982,28.12
49188,1990,29.35
49188,1999,30.2
49188,2008,40.45
49188,2013,40.02
49188,2018,39.83
49192,1968,49.97
49192,1975,55.0
49192,1982,69.72
49192,1990,78.1
49192,1999,84.68
49192,2008,90.1
49192,2013,95.12
49192,2018,95.45
49193,1968,106.99
49193,1975,112.3
49193,1982,120.37
49193,1990,123.78
49193,1999,123.06
49193,2008,122.64
49193,2013,125.02
49193,2018,120.56
49194,1968,67.34
49194,1975,67.91
49194,1982,83.49
49194,1990,96.53
49194,1999,101.2
49194,2008,122.61
49194,2013,133.48
49194,2018,139.15
49195,1968,45.51
49195,1975,60.22
49195,1982,78.43
49195,1990,93.93
49195,1999,107.19
49195,2008,108.43
49195,2013,118.54
49195,2018,134.83
49200,1968,36.9
49200,1975,41.33
49200,1982,62.64
49200,1990,78.06
49200,1999,93.23
49200,2008,107.64
49200,2013,116.09
49200,2018,117.98
49201,1968,67.88
49201,1975,86.53
49201,1982,98.33
49201,1990,102.48
49201,1999,109.33
49201,2008,120.26
49201,2013,121.01
49201,2018,118.36
49205,1968,41.79
49205,1975,54.2
49205,1982,58.38
49205,1990,54.03
49205,1999,54.65
49205,2008,55.22
49205,2013,59.56
49205,2018,54.94
49209,1968,43.73
49209,1975,39.18
49209,1982,38.73
49209,1990,40.51
49209,1999,38.85
49209,2008,40.29
49209,2013,41.95
49209,2018,47.95
49211,1968,31.53
49211,1975,31.18
49211,1982,34.41
49211,1990,41.2
49211,1999,42.53
49211,2008,43.89
49211,2013,45.83
49211,2018,46.24
49214,1968,206.66
49214,1975,277.48
49214,1982,407.17
49214,1990,467.13
49214,1999,482.69
49214,2008,493.34
49214,2013,522.3
49214,2018,544.61
49215,1968,63.03
49215,1975,81.47
49215,1982,83.6
49215,1990,82.54
49215,1999,83.99
49215,2008,82.29
49215,2013,82.31
49215,2018,76.39
49216,1968,19.43
49216,1975,15.26
49216,1982,21.85
49216,1990,24.52
49216,1999,24.94
49216,2008,39.95
49216,2013,41.87
49216,2018,48.21
49217,1968,34.23
49217,1975,30.37
49217,1982,34.14
49217,1990,42.14
49217,1999,50.13
49217,2008,63.61
49217,2013,61.81
49217,2018,69.54
49218,1968,71.92
49218,1975,72.61
49218,1982,73.82
49218,1990,73.62
49218,1999,70.64
49218,2008,76.55
49218,2013,80.78
49218,2018,79.39
49219,1968,105.39
49219,1975,96.92
49219,1982,86.51
49219,1990,108.09
49219,1999,104.82
49219,2008,94.61
49219,2013,87.48
49219,2018,84.39
49220,1968,34.59
49220,1975,31.65
49220,1982,33.4
49220,1990,33.42
49220,1999,35.9
49220,2008,39.76
49220,2013,40.81
49220,2018,41.84
49221,1968,30.6
49221,1975,29.22
49221,1982,26.45
49221,1990,23.31
49221,1999,20.94
49221,2008,22.14
49221,2013,21.65
49221,2018,20.47
49222,1968,38.31
49222,1975,43.36
49222,1982,56.17
49222,1990,70.58
49222,1999,78.34
49222,2008,77.63
49222,2013,80.1
49222,2018,78.3
49223,1968,126.43
49223,1975,151.59
49223,1982,189.42
49223,1990,244.3
49223,1999,295.84
49223,2008,309.43
49223,2013,310.47
49223,2018,326.32
49224,1968,46.68
49224,1975,42.04
49224,1982,53.17
49224,1990,63.42
49224,1999,64.09
49224,2008,65.49
49224,2013,72.86
49224,2018,73.3
49228,1968,24.23
49228,1975,21.66
49228,1982,20.47
49228,1990,18.93
49228,1999,19.55
49228,2008,19.93
