,Date mutation,Nature mutation,Valeur fonciere,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,Adresse,latitude,longitude,result_label,result_score,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
421,28/02/2022,Vente,"200000,00",0,Maison,100.0,4.0,825.0,9 RUE MAXIMILIEN SULLY CHOLET 49300 France,47.041316,-0.885644,9 Rue Maximilien Sully 49300 Cholet,0.81,housenumber,49099_2948_00009,9,Rue Maximilien Sully,,49300,Cholet,"49, Maine-et-Loire, Pays de la Loire",49099,49099,Cholet,,ok
422,15/03/2022,Vente,"290000,00",0,Maison,166.0,5.0,4130.0,6   LA BERTHELOMMIERE LYS-HAUT-LAYON 49310 France,47.137204,-0.601175,6 la Berthelommière 49310 Lys-Haut-Layon,0.81,housenumber,49373_og6kut_00006,6,la Berthelommière,,49310,Lys-Haut-Layon,"49, Maine-et-Loire, Pays de la Loire",49373,49379,Le Voide,,ok
423,15/03/2022,Vente,"290000,00",0,Maison,166.0,5.0,4129.0,6   LA BERTHELOMMIERE LYS-HAUT-LAYON 49310 France,47.137204,-0.601175,6 la Berthelommière 49310 Lys-Haut-Layon,0.81,housenumber,49373_og6kut_00006,6,la Berthelommière,,49310,Lys-Haut-Layon,"49, Maine-et-Loire, Pays de la Loire",49373,49379,Le Voide,,ok
424,15/03/2022,Vente,"290000,00",0,Maison,166.0,5.0,8269.0,6   LA BERTHELOMMIERE LYS-HAUT-LAYON 49310 France,47.137204,-0.601175,6 la Berthelommière 49310 Lys-Haut-Layon,0.81,housenumber,49373_og6kut_00006,6,la Berthelommière,,49310,Lys-Haut-Layon,"49, Maine-et-Loire, Pays de la Loire",49373,49379,Le Voide,,ok
425,28/02/2022,Vente,"316000,00",0,Maison,85.0,4.0,439.0,2 SQ DE LA TOUR BOUTON ANGERS 49100 France,47.490494,-0.531926,2 Square de la Tour Bouton 49100 Angers,0.71,housenumber,49007_7642_00002,2,Square de la Tour Bouton,,49100,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,,ok
426,02/02/2022,Vente,"152000,00",1,Maison,37.0,3.0,23.0,4 PL BURY SAUMUR 49400 France,47.256085,-0.078872,4 Place Bury 49400 Saumur,0.67,housenumber,49328_0359_00004,4,Place Bury,,49400,Saumur,"49, Maine-et-Loire, Pays de la Loire",49328,49328,Saumur,,ok
427,02/02/2022,Vente,"152000,00",1,Maison,94.0,7.0,23.0,4 PL BURY SAUMUR 49400 France,47.256085,-0.078872,4 Place Bury 49400 Saumur,0.67,housenumber,49328_0359_00004,4,Place Bury,,49400,Saumur,"49, Maine-et-Loire, Pays de la Loire",49328,49328,Saumur,,ok
428,19/02/2022,Vente,"127000,00",0,Maison,61.0,3.0,182.0,9 RUE DES FRENES LA ROMAGNE 49740 France,47.058624,-1.025084,9 Rue des Frênes 49740 La Romagne,0.79,housenumber,49260_0145_00009,9,Rue des Frênes,,49740,La Romagne,"49, Maine-et-Loire, Pays de la Loire",49260,,,,ok
429,16/03/2022,Vente,"93000,00",0,Maison,92.0,3.0,287.0,2 RUE DU BOURG BAUGE EN ANJOU 49150 France,47.625032,-0.069838,2 Rue du Bourg 49150 Baugé-en-Anjou,0.8,housenumber,49101_0023_00002,2,Rue du Bourg,,49150,Baugé-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49018,49101,Clefs,,ok
430,07/03/2022,Vente,"205000,00",0,Maison,97.0,4.0,500.0,18 CHE DE FREMOULIN RIVES-DU-LOIR-EN-ANJOU 49140 France,47.539339,-0.419153,18 Chemin de Frémoulin 49140 Rives-du-Loir-en-Anjou,0.77,housenumber,49377_0311_00018,18,Chemin de Frémoulin,,49140,Rives-du-Loir-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49377,49377,Villevêque,,ok
431,07/03/2022,Vente,"205000,00",0,Maison,97.0,4.0,1030.0,18 CHE DE FREMOULIN RIVES-DU-LOIR-EN-ANJOU 49140 France,47.539339,-0.419153,18 Chemin de Frémoulin 49140 Rives-du-Loir-en-Anjou,0.77,housenumber,49377_0311_00018,18,Chemin de Frémoulin,,49140,Rives-du-Loir-en-Anjou,"49, Maine-et-Loire, Pays de la Loire",49377,49377,Villevêque,,ok
432,28/02/2022,Vente,"109000,00",0,Maison,65.0,2.0,491.0,64 RUE BORDEAUX MONTRIEUX OMBREE D'ANJOU 49520 France,47.712428,-0.993485,64 Rue bordeaux montrieux 49420 Ombrée d'Anjou,0.78,housenumber,49103_0050_00064,64,Rue bordeaux montrieux,,49420,Ombrée d'Anjou,"49, Maine-et-Loire, Pays de la Loire",49248,49103,Combrée,,ok
433,09/03/2022,Vente,"86000,00",0,Maison,60.0,2.0,80.0,3 RUE DE L EVRE (CHAPEL ST FLORE MAUGES-SUR-LOIRE 49410 France,47.332835,-1.055237,3 Rue de l'Èvre (La Chapelle-St Florent) 49410 Mauges-sur-Loire,0.75,housenumber,49244_iuxgt7_00003,3,Rue de l'Èvre (La Chapelle-St Florent),,49410,Mauges-sur-Loire,"49, Maine-et-Loire, Pays de la Loire",49244,49075,La Chapelle-Saint-Florent,,ok
434,08/03/2022,Vente,"135000,00",0,Maison,65.0,3.0,797.0,5082   LA PERRAUDIERE SAINT-MARTIN-DU-FOUILLOUX 49170 France,47.437752,-0.70337,Rue de la Perraudière 49170 Saint-Martin-du-Fouilloux,0.7,street,49306_0059,,Rue de la Perraudière,,49170,Saint-Martin-du-Fouilloux,"49, Maine-et-Loire, Pays de la Loire",49306,,,,ok
435,08/03/2022,Vente,"350000,00",0,Maison,196.0,8.0,123.0,6 RUE ETIENNE BOUGOUIN SAUMUR 49400 France,47.258905,-0.08362,6 Rue Etienne Bougouin 49400 Saumur,0.81,housenumber,49328_0960_00006,6,Rue Etienne Bougouin,,49400,Saumur,"49, Maine-et-Loire, Pays de la Loire",49328,49328,Saumur,,ok
436,08/03/2022,Vente,"185000,00",0,Maison,86.0,4.0,139.0,63 RUE DE LA MAITRE-ECOLE ANGERS 49000 France,47.464293,-0.521733,63 Rue de la Maître École 49000 Angers,0.83,housenumber,49007_5090_00063,63,Rue de la Maître École,,49000,Angers,"49, Maine-et-Loire, Pays de la Loire",49007,,,,ok
437,07/03/2022,Vente,"95000,00",0,Maison,68.0,4.0,582.0,141 BD ARISTIDE BRIAND MONTREUIL-BELLAY 49260 France,47.127282,-0.155782,141 Boulevard Aristide Briand 49260 Montreuil-Bellay,0.71,housenumber,49215_0060_00141,141,Boulevard Aristide Briand,,49260,Montreuil-Bellay,"49, Maine-et-Loire, Pays de la Loire",49215,,,,ok
438,08/03/2022,Vente,"155000,00",0,Maison,130.0,5.0,2840.0,5125   LE GRAND VILLIER CLERE-SUR-LAYON 49560 France,47.07662,-0.458619,le Grand Villier 49560 Cléré-sur-Layon,0.71,street,49102_B234,,le Grand Villier,,49560,Cléré-sur-Layon,"49, Maine-et-Loire, Pays de la Loire",49102,,,,ok
439,15/03/2022,Vente,"450000,00",0,Maison,62.0,3.0,4523.0,5871   LA SAULNERIE OMBREE D'ANJOU 49420 France,47.739859,-1.183732,Les Saulneries 49420 Ombrée d'Anjou,0.58,street,49248_ch3ga6,,Les Saulneries,,49420,Ombrée d'Anjou,"49, Maine-et-Loire, Pays de la Loire",49248,49248,Pouancé,,ok
