,Date mutation,Nature mutation,Valeur fonciere,Nombre de lots,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain,latitude,longitude,result_score,moy_vf_10_plus_proches,moy_dist_10_plus_proches,densite_pop,prix_m2
119,23/02/2022,Vente,130000.0,0,2,54.0,3.0,244.0,47.220267,-0.726054,0.71,715000.0,38.86783989383333,88.97,532.7868852459017
120,23/02/2022,Vente,130000.0,0,2,60.0,3.0,244.0,47.220267,-0.726054,0.71,715000.0,38.86783989383333,88.97,532.7868852459017
121,28/02/2022,Vente,120000.0,0,1,110.0,3.0,1695.0,47.62266,-0.356341,0.74,660000.0,121.03941153160218,103.91,70.79646017699115
122,28/02/2022,Vente,120000.0,0,1,110.0,3.0,565.0,47.62266,-0.356341,0.74,660000.0,121.03941153160218,103.91,212.38938053097345
123,14/03/2022,Vente,176480.0,0,1,122.0,5.0,330.0,47.266455,-0.787372,0.52,970640.0,269.821721731591,88.97,534.7878787878788
124,28/02/2022,Vente,315000.0,0,1,33.0,2.0,928.0,47.556097,-0.433294,0.65,1732500.0,47.913463180269346,103.91,339.4396551724138
125,28/02/2022,Vente,315000.0,0,1,122.0,6.0,928.0,47.556097,-0.433294,0.65,1732500.0,47.913463180269346,103.91,339.4396551724138
126,15/03/2022,Vente,60000.0,0,1,95.0,5.0,810.0,47.156415,-0.447978,0.82,330000.0,199.47457261831124,22.31,74.07407407407408
127,15/03/2022,Vente,60000.0,0,3,1373.0,0.0,810.0,47.156415,-0.447978,0.82,330000.0,199.47457261831124,22.31,74.07407407407408
128,03/03/2022,Vente,305263.16,0,1,158.0,6.0,550.0,47.555064,-0.386711,0.53,1678947.3800000001,90.40607529767486,103.91,555.0239272727272
129,03/03/2022,Vente,305263.16,0,1,158.0,6.0,1661.0,47.555064,-0.386711,0.53,1678947.3800000001,90.40607529767486,103.91,183.78275737507525
130,15/03/2022,Vente,290000.0,0,1,166.0,5.0,4130.0,47.137204,-0.601175,0.81,1595000.0,199.9486265706817,22.31,70.2179176755448
131,15/03/2022,Vente,290000.0,0,1,166.0,5.0,4129.0,47.137204,-0.601175,0.81,1595000.0,199.9486265706817,22.31,70.23492371034149
